"","Speaker","Listener","Lines","Narrative_lower","Narrative_noNumbers","Narrative_noStopWords","Narrative_noPunctuation","Narrative_noTypos","Narrative_noSpaces","Narrative_Lemma"
"228","RITA","HARRY","...about to compete against three students. Not only vastly more emotionally mature than yourself but have mastered spells that you wouldn't attempt in your dizziest daydreams. Concerned?  ","...about to compete against three students. not only vastly more emotionally mature than yourself but have mastered spells that you wouldn't attempt in your dizziest daydreams. concerned?  ","...about to compete against three students. not only vastly more emotionally mature than yourself but have mastered spells that you wouldn't attempt in your dizziest daydreams. concerned?  ","...  compete  three students.   vastly  emotionally mature     mastered spells    attempt   dizziest daydreams. concerned?  ","  compete  three students   vastly  emotionally mature     mastered spells    attempt   dizziest daydreams concerned  ","  compete  three students   vastly  emotionally mature     mastered spells    attempt   dizziest daydreams concerned  "," compete three students vastly emotionally mature mastered spells attempt dizziest daydreams concerned ","compete three student vastly emotionally mature master spell attempt dizzy daydream concern"
"229","HARRY","RITA","I dunno I haven't really thought about it. ","i dunno i haven't really thought about it. ","i dunno i haven't really thought about it. "," dunno   really thought  . "," dunno   really thought   "," dunno   really thought   "," dunno really thought ","dunno really think"
"230","RITA","HARRY","Course you're not just any ordinary boy of twelve are you... ","course you're not just any ordinary boy of twelve are you... ","course you're not just any ordinary boy of twelve are you... ","course   just  ordinary boy  twelve  ... ","course   just  ordinary boy  twelve   ","course   just  ordinary boy  twelve   ","course just ordinary boy twelve ","course just ordinary boy twelve"
"231","HARRY","RITA","Fourteen.  ","fourteen.  ","fourteen.  ","fourteen.  ","fourteen  ","fourteen  ","fourteen ","fourteen"
"232","RITA","HARRY","The story's legend. Do you think it was the trauma of your past that made you so keen to enter such a dangerous tournament.  ","the story's legend. do you think it was the trauma of your past that made you so keen to enter such a dangerous tournament.  ","the story's legend. do you think it was the trauma of your past that made you so keen to enter such a dangerous tournament.  "," story's legend.   think    trauma   past  made   keen  enter   dangerous tournament.  "," storys legend   think    trauma   past  made   keen  enter   dangerous tournament  "," storys legend   think    trauma   past  made   keen  enter   dangerous tournament  "," storys legend think trauma past made keen enter dangerous tournament ","storys legend think trauma past make keen enter dangerous tournament"
"233","HARRY","RITA","No I didn't enter.  ","no i didn't enter.  ","no i didn't enter.  ","   enter.  ","   enter  ","   enter  "," enter ","enter"
"234","RITA","HARRY","Course you didn't. Everyone loves a rebel Harry. (to the quill) Scratch that last. Speaking of your parents, were they alive, how do you think they'd feel? proud? or concerned that your attitude shows at best a pathological need for attention, at worst a psychotic deathwish.  ","course you didn't. everyone loves a rebel harry. (to the quill) scratch that last. speaking of your parents, were they alive, how do you think they'd feel? proud? or concerned that your attitude shows at best a pathological need for attention, at worst a psychotic deathwish.  ","course you didn't. everyone loves a rebel harry. (to the quill) scratch that last. speaking of your parents, were they alive, how do you think they'd feel? proud? or concerned that your attitude shows at best a pathological need for attention, at worst a psychotic deathwish.  ","course  . everyone loves  rebel harry. (  quill) scratch  last. speaking   parents,   alive,    think  feel? proud?  concerned   attitude shows  best  pathological need  attention,  worst  psychotic deathwish.  ","course   everyone loves  rebel harry   quill scratch  last speaking   parents   alive    think  feel proud  concerned   attitude shows  best  pathological need  attention  worst  psychotic deathwish  ","course   everyone loves  rebel harry   quill scratch  last speaking   parents   alive    think  feel proud  concerned   attitude shows  best  pathological need  attention  worst  psychotic deathwish  ","course everyone loves rebel harry quill scratch last speaking parents alive think feel proud concerned attitude shows best pathological need attention worst psychotic deathwish ","course everyone love rebel harry quill scratch last speak parent alive think feel proud concern attitude show good pathological need attention bad psychotic deathwish"
"235","HARRY","RITA","(looking at the notepad) Hey, my eyes aren't glistening with the ghosts of my past.","(looking at the notepad) hey, my eyes aren't glistening with the ghosts of my past.","(looking at the notepad) hey, my eyes aren't glistening with the ghosts of my past.","(looking   notepad) hey,  eyes  glistening   ghosts   past.","looking   notepad hey  eyes  glistening   ghosts   past","looking   notepad hey  eyes  glistening   ghosts   past","looking notepad hey eyes glistening ghosts past","look notepad hey eye glisten ghost past"
"236","SIRIUS","HARRY","(VOICEOVER) Harry. I couldn't risk sending Edward. It was since the world cup and the ministry's been intercepting more and more owls and she's too easily recognised. We need to talk Harry. Face to face. Meet me in the Griffindore common room at one o clock this Saturday night and make sure you're alone. P.S.... The owl nips Harry's finger.  ","(voiceover) harry. i couldn't risk sending edward. it was since the world cup and the ministry's been intercepting more and more owls and she's too easily recognised. we need to talk harry. face to face. meet me in the griffindore common room at one o clock this saturday night and make sure you're alone. p.s.... the owl nips harry's finger.  ","(voiceover) harry. i couldn't risk sending edward. it was since the world cup and the ministry's been intercepting more and more owls and she's too easily recognised. we need to talk harry. face to face. meet me in the griffindore common room at one o clock this saturday night and make sure you're alone. p.s.... the owl nips harry's finger.  ","(voiceover) harry.   risk sending edward.   since  world cup   ministry's  intercepting    owls    easily recognised.  need  talk harry. face  face. meet    griffindore common room  one o clock  saturday night  make sure  alone. p.s....  owl nips harry's finger.  ","voiceover harry   risk sending edward   since  world cup   ministrys  intercepting    owls    easily recognised  need  talk harry face  face meet    griffindore common room  one o clock  saturday night  make sure  alone ps  owl nips harrys finger  ","voiceover harry   risk sending edward   since  world cup   ministrys  intercepting    owls    easily recognised  need  talk harry face  face meet    griffindore common room  one o clock  saturday night  make sure  alone ps  owl nips harrys finger  ","voiceover harry risk sending edward since world cup ministrys intercepting owls easily recognised need talk harry face face meet griffindore common room one o clock saturday night make sure alone ps owl nips harrys finger ","voiceover harry risk send edward since world cup ministrys intercept owl easily recognise need talk harry face face meet griffindore common room one o clock saturday night make sure alone ps owl nip harrys finger"
"237","HARRY","SIRIUS","AGH!  ","agh!  ","agh!  ","agh!  ","agh  ","agh  ","agh ","agh"
"238","SIRIUS","HARRY","(VOICEOVER CONT'D) The bird bites.  ","(voiceover cont'd) the bird bites.  ","(voiceover cont'd) the bird bites.  ","(voiceover cont'd)  bird bites.  ","voiceover contd  bird bites  ","voiceover contd  bird bites  ","voiceover contd bird bites ","voiceover contd bird bite"
"239","HARRY","SIRIUS","SIRIUSius?  ","siriusius?  ","siriusius?  ","siriusius?  ","siriusius  ","siriusius  ","siriusius ","siriusius"
"240","RITA","HARRY","(VOICEOVER) Harry Potter aged 12, suspect entrant in the tri-wizard tournament. His eyes swimming with the ghosts of his...  ","(voiceover) harry potter aged 12, suspect entrant in the tri-wizard tournament. his eyes swimming with the ghosts of his...  ","(voiceover) harry potter aged , suspect entrant in the tri-wizard tournament. his eyes swimming with the ghosts of his...  ","(voiceover) harry potter aged , suspect entrant   tr-wizard tournament.  eyes swimming   ghosts  ...  ","voiceover harry potter aged  suspect entrant   trwizard tournament  eyes swimming   ghosts    ","voiceover harry potter aged  suspect entrant   trwizard tournament  eyes swimming   ghosts    ","voiceover harry potter aged suspect entrant trwizard tournament eyes swimming ghosts ","voiceover harry potter age suspect entrant trwizard tournament eye swim ghost"
"241","HARRY","SIRIUS","SIRIUSius?! How...  ","siriusius?! how...  ","siriusius?! how...  ","siriusius?! ...  ","siriusius   ","siriusius   ","siriusius ","siriusius"
"242","SIRIUS","HARRY","I don't have much time Harry so let me get straight to it. Did you or did you not put your name into the goblet of fire?  ","i don't have much time harry so let me get straight to it. did you or did you not put your name into the goblet of fire?  ","i don't have much time harry so let me get straight to it. did you or did you not put your name into the goblet of fire?  ","   much time harry  let  get straight  .       put  name   goblet  fire?  ","   much time harry  let  get straight         put  name   goblet  fire  ","   much time harry  let  get straight         put  name   goblet  fire  "," much time harry let get straight put name goblet fire ","much time harry let get straight put name goblet fire"
